,Country_Country,Income Gini,Wealth Gini,Lobby index
159,United Arab Emirates,0.26,0.885,3.4038461538461537
158,Ukraine,0.256,0.834,3.2578125
1,Algeria,0.276,0.848,3.072463768115942
37,Czech Republic,0.262,0.776,2.9618320610687023
144,Sweden,0.298,0.881,2.9563758389261747
146,Syria,0.266,0.778,2.924812030075188
109,Netherlands,0.257,0.75,2.9182879377431905
114,Norway,0.27699999999999997,0.794,2.8664259927797837
94,Maldives,0.293,0.808,2.757679180887372
59,Guinea,0.29600000000000004,0.816,2.756756756756756
9,Belarus,0.244,0.672,2.754098360655738
7,Azerbaijan,0.266,0.726,2.7293233082706765
101,Moldova,0.257,0.691,2.6887159533073928
50,Finland,0.27699999999999997,0.744,2.685920577617329
135,Slovenia,0.243,0.652,2.683127572016461
71,Ireland,0.301,0.8,2.6578073089700998
77,Kazakhstan,0.292,0.776,2.657534246575343
4,Armenia,0.27899999999999997,0.731,2.620071684587814
38,Denmark,0.28300000000000003,0.739,2.6113074204946995
81,Kyrgyzstan,0.28800000000000003,0.752,2.6111111111111107
49,Fiji,0.307,0.785,2.5570032573289905
36,Cyprus,0.313,0.791,2.527156549520767
84,Lebanon,0.318,0.802,2.5220125786163523
121,Poland,0.285,0.716,2.5122807017543862
67,India,0.32799999999999996,0.823,2.5091463414634148
115,Pakistan,0.29600000000000004,0.74,2.4999999999999996
66,Iceland,0.261,0.649,2.4865900383141764
42,Egypt,0.319,0.793,2.4858934169278997
55,Germany,0.317,0.788,2.4858044164037856
113,Nigeria,0.35100000000000003,0.86,2.45014245014245
125,Russia,0.36,0.88,2.4444444444444446
35,Croatia,0.289,0.702,2.4290657439446366
6,Austria,0.307,0.742,2.416938110749186
70,Iraq,0.295,0.71,2.406779661016949
166,Yemen,0.36700000000000005,0.883,2.4059945504087192
108,Nepal,0.32799999999999996,0.788,2.4024390243902443
54,Georgia,0.342,0.817,2.3888888888888884
97,Mauritania,0.32,0.758,2.36875
131,Seychelles,0.321,0.76,2.367601246105919
102,Mongolia,0.314,0.742,2.3630573248407645
83,Latvia,0.34299999999999997,0.805,2.3469387755102042
60,Guinea-Bissau,0.33399999999999996,0.78,2.3353293413173657
0,Albania,0.294,0.686,2.3333333333333335
65,Hungary,0.292,0.68,2.3287671232876717
12,Benin,0.344,0.8,2.3255813953488373
154,Tunisia,0.337,0.78,2.314540059347181
44,Estonia,0.318,0.731,2.29874213836478
145,Switzerland,0.337,0.772,2.2908011869436202
23,Canada,0.317,0.726,2.2902208201892744
86,Liberia,0.353,0.806,2.28328611898017
76,Jordan,0.337,0.767,2.2759643916913945
69,Iran,0.348,0.792,2.2758620689655173
82,Laos,0.38799999999999996,0.883,2.275773195876289
143,Suriname,0.392,0.886,2.260204081632653
8,Bangladesh,0.33399999999999996,0.754,2.25748502994012
10,Belgium,0.266,0.599,2.25187969924812
112,Niger,0.32899999999999996,0.738,2.243161094224924
95,Mali,0.35700000000000004,0.8,2.2408963585434174
51,France,0.315,0.702,2.228571428571428
106,Myanmar,0.307,0.68,2.214983713355049
150,Thailand,0.349,0.771,2.209169054441261
53,Gambia,0.38799999999999996,0.857,2.2087628865979383
165,Vietnam,0.361,0.797,2.2077562326869806
129,Senegal,0.36200000000000004,0.797,2.2016574585635356
92,Malawi,0.385,0.845,2.1948051948051948
151,East Timor,0.287,0.627,2.1846689895470384
160,United Kingdom,0.324,0.706,2.1790123456790123
21,Cambodia,0.36,0.783,2.1750000000000003
130,Serbia,0.331,0.713,2.1540785498489425
152,Togo,0.379,0.815,2.150395778364116
120,Philippines,0.40700000000000003,0.873,2.1449631449631448
148,Tajikistan,0.34,0.728,2.1411764705882352
161,United States,0.39799999999999996,0.85,2.1356783919597992
78,Kenya,0.387,0.826,2.134366925064599
19,Burkina Faso,0.374,0.79,2.1122994652406417
52,Gabon,0.38,0.797,2.0973684210526318
15,Bosnia and Herzegovina,0.33,0.692,2.0969696969696967
134,Slovakia,0.24100000000000002,0.505,2.0954356846473026
43,El Salvador,0.38799999999999996,0.812,2.0927835051546397
104,Morocco,0.395,0.824,2.086075949367088
26,Chad,0.374,0.776,2.0748663101604277
147,Taiwan,0.341,0.707,2.0733137829912023
57,Greece,0.32899999999999996,0.682,2.0729483282674774
46,Ethiopia,0.35,0.723,2.065714285714286
110,New Zealand,0.33899999999999997,0.7,2.064896755162242
124,Romania,0.33899999999999997,0.696,2.0530973451327434
132,Sierra Leone,0.35700000000000004,0.732,2.0504201680672267
74,Jamaica,0.402,0.822,2.044776119402985
140,Sri Lanka,0.377,0.77,2.042440318302387
68,Indonesia,0.38299999999999995,0.782,2.0417754569190603
122,Portugal,0.34600000000000003,0.706,2.0404624277456644
93,Malaysia,0.40700000000000003,0.83,2.039312039312039
139,Spain,0.33899999999999997,0.691,2.03834808259587
88,Luxembourg,0.327,0.663,2.0275229357798166
117,Papua New Guinea,0.419,0.843,2.011933174224344
3,Argentina,0.40700000000000003,0.809,1.9877149877149878
103,Montenegro,0.34299999999999997,0.681,1.9854227405247817
119,Peru,0.40299999999999997,0.8,1.9851116625310177
85,Lesotho,0.449,0.888,1.977728285077951
14,Bolivia,0.409,0.808,1.975550122249389
22,Cameroon,0.42200000000000004,0.833,1.9739336492890993
72,Israel,0.379,0.747,1.970976253298153
75,Japan,0.32899999999999996,0.647,1.9665653495440734
25,Central African Republic,0.43,0.845,1.9651162790697674
87,Lithuania,0.36700000000000005,0.72,1.961852861035422
96,Malta,0.314,0.611,1.9458598726114649
98,Mauritius,0.368,0.716,1.9456521739130435
62,Haiti,0.41100000000000003,0.799,1.9440389294403893
157,Uganda,0.42700000000000005,0.828,1.939110070257611
73,Italy,0.348,0.672,1.931034482758621
5,Australia,0.34299999999999997,0.662,1.9300291545189507
91,Madagascar,0.426,0.821,1.9272300469483568
39,Djibouti,0.41600000000000004,0.796,1.9134615384615383
162,Uruguay,0.406,0.774,1.9064039408866995
30,Comoros,0.45299999999999996,0.861,1.9006622516556293
28,China,0.371,0.701,1.889487870619946
128,Saudi Arabia,0.45899999999999996,0.864,1.8823529411764708
153,Trinidad and Tobago,0.40299999999999997,0.757,1.8784119106699753
20,Burundi,0.375,0.703,1.8746666666666665
126,Rwanda,0.43700000000000006,0.818,1.871853546910755
31,DR Congo,0.447,0.83,1.8568232662192392
99,Mexico,0.435,0.804,1.8482758620689657
27,Chile,0.43,0.794,1.8465116279069769
149,Tanzania,0.405,0.744,1.8370370370370368
155,Turkey,0.444,0.81,1.8243243243243243
118,Paraguay,0.451,0.815,1.8070953436807093
127,São Tomé and Príncipe,0.40700000000000003,0.734,1.8034398034398034
18,Bulgaria,0.39,0.702,1.7999999999999998
41,Ecuador,0.455,0.801,1.7604395604395604
111,Nicaragua,0.462,0.813,1.7597402597402596
32,Congo,0.489,0.855,1.7484662576687116
164,Venezuela,0.44799999999999995,0.778,1.736607142857143
56,Ghana,0.435,0.753,1.7310344827586206
156,Turkmenistan,0.408,0.705,1.7279411764705883
167,Zambia,0.515,0.886,1.720388349514563
133,Singapore,0.45899999999999996,0.788,1.7167755991285405
17,Brazil,0.52,0.892,1.7153846153846153
61,Guyana,0.451,0.769,1.70509977827051
33,Costa Rica,0.47200000000000003,0.797,1.6885593220338984
116,Panama,0.489,0.819,1.674846625766871
16,Botswana,0.5329999999999999,0.879,1.6491557223264544
141,Saint Lucia,0.512,0.813,1.5878906249999998
2,Angola,0.513,0.814,1.5867446393762181
168,Zimbabwe,0.503,0.797,1.5844930417495031
11,Belize,0.5329999999999999,0.835,1.5666041275797375
29,Colombia,0.5479999999999999,0.835,1.5237226277372264
105,Mozambique,0.505,0.75,1.4851485148514851
107,Namibia,0.591,0.868,1.4686971235194586
123,Qatar,0.41100000000000003,0.586,1.4257907542579074
137,South Africa,0.63,0.886,1.4063492063492065
64,Hong Kong,0.539,0.738,1.3692022263450834
13,Bhutan,0.285,,
24,Cape Verde,0.424,,
34,Ivory Coast,0.353,,
40,Dominican Republic,0.37,,
45,Eswatini,0.546,,
47,European Union,0.306,,
48,Faroe Islands,0.2271,,
58,Guatemala,0.483,,
63,Honduras,0.48200000000000004,,
79,South Korea,0.314,,
80,Kosovo,0.29,,
89,Macau,0.36,,
90,North Macedonia,0.335,,
100,Micronesia,0.401,,
136,Somalia,0.368,,
138,South Sudan,0.441,,
142,Sudan,0.342,,
163,Uzbekistan,0.312,,
169,World,,0.889,
170,Afghanistan,,0.689,
171,Antigua and Barbuda,,0.813,
172,Aruba,,0.813,
173,Bahamas,,0.895,
174,Bahrain,,0.885,
175,Barbados,,0.805,
